Admission_No,Payment_Date,Payment_Mode,Payment_Amount
7770,22/04/2023,Cash,15260
7544,4/4/2023,Cash,19370
7550,4/4/2023,Cash,19670
7508,22/04/2023,Online,14720
7495,22/04/2023,Pos,7720
7492,3/4/2023,Cash,11020
7462,1/4/2023,UPI,11220
7469,22/04/2023,Cash,7700
7459,3/4/2023,Cash,8020
7323,22/04/2023,Cash,3000
7440,1/4/2023,Pos,7840
7434,22/04/2023,Cash,19220
7437,22/04/2023,Cash,100
7414,8/4/2023,UPI,10900
7427,22/04/2023,UPI,8220
7429,22/04/2023,UPI,8220
7430,22/04/2023,UPI,7720
7428,22/04/2023,Cash,11220
8076,22/04/2023,Cash,11220
7412,22/04/2023,UPI,11220
7398,4/4/2023,UPI,17200
7395,22/04/2023,UPI,11420
7397,22/04/2023,Cash,11220
7405,22/04/2023,UPI,8320
7400,4/4/2023,UPI,19220
7396,22/04/2023,Pos,11220
7399,22/04/2023,Cash,11220
7381,22/04/2023,UPI,6320
7320,22/04/2023,UPI,11300
7388,22/04/2023,Online,13220
7326,22/04/2023,Cash,8650
7328,1/4/2023,Cash,9300
7340,22/04/2023,UPI,9300
7319,22/04/2023,Cash,6650
7332,22/04/2023,UPI,5400
7331,22/04/2023,Cash,8450
7334,1/4/2023,UPI,3900
7336,1/4/2023,UPI,5650
7316,11/4/2023,UPI,6350
7304,4/4/2023,Online,6400
7307,4/4/2023,Online,17300
7294,8/4/2023,UPI,8630
7310,22/04/2023,UPI,5500
7302,22/04/2023,UPI,8750
7300,1/4/2023,Pos,7600
7297,4/4/2023,UPI,5650
7311,22/04/2023,UPI,4650
7303,22/04/2023,Cash,9100
7299,4/4/2023,Cash,4650
7312,22/04/2023,UPI,5800
7290,22/04/2023,Cash,5200
7293,1/4/2023,Cash,9300
7306,22/04/2023,Cash,8300
7296,22/04/2023,UPI,9300
7352,22/04/2023,UPI,18800
8170,4/4/2023,Cash,4800
7356,1/8/2023,Cash,5100
7353,1/4/2023,UPI,4300
7357,22/04/2023,UPI,6000
7347,2/5/2023,Cash,7300
8093,1/4/2023,Pos,9300
7348,22/04/2023,Cash,1900
8157,22/04/2023,Cash,1200
7355,8/4/2023,UPI,8650
7374,4/4/2023,UPI,16200
7365,4/4/2023,Cash,11270
7379,3/4/2023,UPI,19120
7378,4/4/2023,Cash,7420
7371,5/4/2023,Cash,2800
7402,22/04/2023,Cash,18300
7361,1/4/2023,UPI,11220
7359,12/4/2023,Cash,11220
7373,3/4/2023,Cash,8300
7358,1/4/2023,UPI,8320
7380,22/04/2023,Cash,10200
7372,5/4/2023,Cash,7100
7364,22/04/2023,UPI,6400
7298,22/04/2023,UPI,11300
7409,6/4/2023,Cash,12220
7318,6/4/2023,Cash,10300
7670,6/4/2023,Cash,12220
7433,3/4/2023,UPI,20220
7448,6/5/2023,Cash,8100
7431,1/4/2023,Cash,18720
7330,22/04/2023,Cash,10300
7432,22/04/2023,UPI,13220
7465,22/04/2023,UPI,13220
7335,2/4/2023,Cash,11300
7419,6/5/2023,UPI,14100
7518,6/5/2023,Cash,21220
7471,6/5/2023,Cash,9500
7515,22/04/2023,Cash,13220
7314,22/04/2023,Cash,11300
7344,7/4/2023,Online,9400
7324,22/04/2023,Cash,10300
7376,4/4/2023,Online,19120
7467,2/4/2023,Pos,18400
7751,15/04/2023,Cash,20260
7488,15/04/2023,Online,16500
7761,3/4/2023,Cash,17260
7475,18/05/2023,Cash,720
7315,2/5/2023,UPI,11050
7484,2/5/2023,Cash,11020
7447,2/5/2023,Cash,11120
7435,1/5/2023,Cash,13350
7351,2/5/2023,UPI,19300
7464,15/04/2023,UPI,19220
7305,2/5/2023,Cash,11300
7449,3/4/2023,UPI,22570
6364,3/4/2023,UPI,9300
6365,2/4/2023,Cash,8300
6354,31/07/2023,Online,4000
6369,18/09/2023,Online,4400
6375,1/4/2023,Cash,6300
6363,4/4/2023,UPI,9300
6360,4/4/2023,UPI,9800
6731,4/4/2023,Online,8050
6353,17/06/2023,UPI,9300
6357,17/05/2023,UPI,9100
7322,1/4/2023,UPI,8500
6378,20/04/2023,UPI,4400
6356,29/07/2023,Pos,8100
6719,3/4/2023,UPI,8800
6778,1/4/2023,Cash,9300
6361,16/05/2023,UPI,8300
6729,1/4/2023,Cash,6300
7333,3/4/2023,Cash,6100
6723,6/4/2023,Cash,3000
6724,8/5/2023,UPI,9300
6352,4/4/2023,UPI,7080
6406,12/4/2023,Cash,5200
6818,25/09/2023,Cash,1500
6383,7/8/2023,Pos,7300
6734,14/04/2023,Online,6400
6358,5/5/2023,UPI,8300
6377,9/5/2023,UPI,9300
6362,11/4/2023,UPI,9300
6373,3/4/2023,UPI,9300
6451,2/4/2023,Cash,8300
7341,4/4/2023,UPI,9300
6373,8/5/2023,Cash,5200
6374,10/5/2023,UPI,9300
4821,6/4/2023,UPI,14150
6452,5/4/2023,UPI,9100
5616,3/4/2023,Online,10000
5620,8/4/2023,UPI,9300
7343,5/4/2023,UPI,3300
5612,25/04/2023,UPI,3300
5618,24/06/2023,Cash,8100
6527,12/4/2023,Cash,9800
5608,11/4/2023,Cash,8800
6521,3/4/2023,UPI,9300
6368,3/4/2023,Cash,10000
6405,16/05/2023,UPI,9300
NANDANI,24/04/2023,Cash,10100
6374,10/12/2023,Cash,5100
6534,19/05/2023,Cash,9300
6539,4/4/2023,UPI,9300
6442,5/4/2023,UPI,11700
5730,21/07/2023,Online,9300
6366,5/4/2023,UPI,15800
6382,14/04/2023,Online,7300
6461,8/5/2023,Online,7400
6381,1/5/2023,UPI,11300
7354,4/5/2023,UPI,9300
6525,1/4/2023,Cash,3500
6540,18/05/2023,UPI,5000
6438,8/5/2023,Cash,9300
5604,1/4/2023,Pos,1700
6413,4/4/2023,UPI,9300
6545,11/4/2023,UPI,9300
6456,7/8/2023,Pos,7300
5072,17/05/2023,UPI,6800
4813,6/4/2023,Cash,6600
4811,4/4/2023,UPI,5000
6445,4/4/2023,UPI,6220
6716,1/4/2023,Cash,10800
6372,17/05/2023,UPI,14320
6409,1/4/2023,Online,11720
6453,25/04/2023,UPI,11220
4818,7/4/2023,UPI,9100
6426,14/04/2023,UPI,10520
5632,17/05/2023,UPI,3800
7362,28/04/2023,Cash,11270
4826,6/4/2023,Cash,17900
4810,7/4/2023,UPI,9680
5626,9/4/2023,Cash,7880
5814,17/05/2023,UPI,8650
6522,1/4/2023,UPI,9880
6408,1/4/2023,UPI,10800
4819,6/4/2023,UPI,18600
5696,2/4/2023,Pos,10900
6415,6/5/2023,UPI,11220
6458,5/5/2023,UPI,11220
6376,24/06/2023,UPI,11220
