Book_Type,Class,Book_Status,Book_Category,Name_of_Book,Author_Name,Publication,Location,Volume_Name,Edition,Publication_Year,No_of_Pages,Quantity,ISBN_No,Invoice_No,Price,Purchase_Date,
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,CLASSIC RABINDRANATH TAGORE,NA,NA,SHELF 6,NA,NA,2011,1126,1,9780143416326.00,NA,599,0,01-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE GREAT WORK OF RABINDRANATH TAGORE,NA,NA,SHELF 6,NA,NA,2012,303,1,9789381438381.00,NA,125,0,02-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,MODERN CLASSIC SELECTED POEMS,NA,NA,SHELF 6,NA,NA,1995,208,1,9780140183665.00,NA,298,0,03-01-1960
BIOGRAPHY,,NEW,BIOGRAPHY,MY LIFE IN MY WORD ,NA,NA,SHELF 5,NA,NA,2010,395,1,9780143415350.00,NA,450,0,04-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,COLLECTED STORIES RABINDRANATH TAGORE,NA,NA,SHELF 6,NA,NA,2013,984,1,9788176060806.00,NA,195,0,05-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"THE NIGHT TRAIN AT DEOLI,AND OTHER STORIES",NA,NA,SHELF 6,NA,NA,1988,245,1,9780140116151.00,NA,275,0,06-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,RAIN IN THE MOUNTAIN NOTE FROM THE HIMALAYAS,NA,NA,SHELF 6,NA,NA,1993,251,1,9780140236910.00,NA,299,0,07-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE LAMP IS LIT LEAVES FROM A JOURNAL,NA,NA,SHELF 6,NA,NA,1998,200,1,9780140278040.00,NA,299,0,08-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,INDIAN RAILWAY STORIES,NA,NA,SHELF 6,NA,NA,1994,184,1,9780140240665.00,NA,199,0,09-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,OUR TREES STILL GROW IN DEHRA,NA,NA,SHELF 6,NA,NA,1991,108,1,9780140169027.00,NA,225,0,10-01-1960
BIOGRAPHY,,NEW,BIOGRAPHY,"SCENCE FROM AWRITERS LIFE,A MEMOIR",NA,NA,SHELF 5,NA,NA,1997,178,1,9780140270662.00,NA,250,0,11-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,A SEASON OF GHOST,NA,NA,SHELF 6,NA,NA,1999,210,1,9780140287844.00,NA,250,0,12-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,TIME STOPS AT SHAMLI AND OTHER STORIES,NA,NA,SHELF 6,NA,NA,1989,180,1,9780140128420.00,NA,225,0,13-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,STRANGERS IN THE NIGHT TWO NOVELLAS,NA,NA,SHELF 6,NA,NA,1996,143,1,9780140240658.00,NA,199,0,14-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,BOOK OF HUMOR,NA,NA,SHELF 6,NA,NA,2008,278,1,9780143063438.00,NA,299,0,15-01-1960
