Admission,Dues,Particular_Remarks
R0557,4000,back month dues
R0605,3000,back month dues
R0597,1700,back month dues
R0020,2100,back month dues
R0006,9200,back month dues
R0002,1300,back month dues
R0028,21200,back month dues
R0679,5500,back month dues
R0032,1500,back month dues
R0675,1400,back month dues
R0632,1500,back month dues
R0563,700,back month dues
R0537,3000,back month dues
R0652,2800,back month dues
R0672,4000,back month dues
R0007,1400,back month dues
R0507,3900,back month dues
R0014,2100,back month dues
R0008,6900,back month dues
R0503,1400,back month dues
R0612,3200,back month dues
R0629,700,back month dues
R0628,5100,back month dues
R0630,1500,back month dues
R0038,7800,back month dues
R0687,1700,back month dues
R0656,2800,back month dues
R0634,12000,back month dues
R0602,12000,back month dues
R0001,700,back month dues
R0614,3500,back month dues
R0671,1200,back month dues
R0542,700,back month dues
R0031,12400,back month dues
R0041,4200,back month dues
R0571,4200,back month dues
R0036,3400,back month dues
R0651,2800,back month dues
R0012,5100,back month dues
R0021,3000,back month dues
R0550,1500,back month dues
R0496,9100,back month dues
R0027,12400,back month dues
R0013,1500,back month dues
R0022,700,back month dues
R0003,700,back month dues
R0005,5500,back month dues
R0015,5100,back month dues
R0668,3000,back month dues
R0037,6800,back month dues
R0040,600,back month dues
R0009,11000,back month dues
R0034,700,back month dues
R0676,3000,back month dues
